Company Name,Business Name,Street Address,City,Burrough,Province,Postal Code,Telephone Number,Line of Business,Latitude,Longitude,Primary NAICS,Primary SIC,Sales Volume,Total Employees,Local Employees,Year Started
1553239 ONTARIO INCORPARATED,COFFEE TIME DONUTS,1321 GERRARD ST E,Toronto,TORONTO,Ontario,M4L 1Y8,,EATING PLACES,43.67116,-79.326091,722513,58120304,"$145,921.00 ",4,4,2003
1692208 ONTARIO INC,COFFEE TIME DONUTS,2288 DUNDAS ST W,Toronto,TORONTO,Ontario,M6R 1X3,4165390907,EATING PLACES,43.655489,-79.452144,722513,58120304,"$72,231.00 ",2,2,1996
ADVANTIC INDUSTRIAL TRADE INC,COFFEE TIME DONUTS,1901 ELLESMERE RD SUITE 1,Toronto,SCARBOROUGH,Ontario,M1H 2W5,,RETAIL BAKERIES,43.7742,-79.241221,311811,54610000,"$407,138.00 ",10,10,
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,2195 MIDLAND AVE,Toronto,SCARBOROUGH,Ontario,M1P 3E7,6473518463,EATING PLACES,43.77336,-79.272411,722513,58120304,"$297,233.00 ",10,10,2014
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,2310 SHEPPARD AVE W,Toronto,TORONTO,Ontario,M9M 1M2,,EATING PLACES,43.73494,-79.534501,722513,58120304,"$175,292.00 ",5,5,
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,731 BROADVIEW AVE,Toronto,TORONTO,Ontario,M4K 2P6,,EATING PLACES,43.67555,-79.357961,722513,58120304,"$114,321.00 ",3,3,2011
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,3701 CHESSWOOD DR SUITE 100,Toronto,NORTH YORK,Ontario,M3J 2P6,6478855195,EATING PLACES,43.755642,-79.474151,722513,58120304,"$167,810.00 ",5,5,
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,1961 KENNEDY RD,Toronto,SCARBOROUGH,Ontario,M1P 5A2,4162915219,EATING PLACES,43.76929,-79.281781,722513,58120304,"$284,547.00 ",10,10,
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,3379 YONGE ST,Toronto,NORTH YORK,Ontario,M4N 2M8,4163225284,RETAIL BAKERIES,43.73218,-79.403631,445291,54619905,"$35,820.00 ",1,1,
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,2146 DANFORTH AVE,Toronto,TORONTO,Ontario,M4C 1J9,4162542351,EATING PLACES,43.68626,-79.311141,722513,58120304,"$284,547.00 ",10,10,1994
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,1577 DANFORTH AVE SUITE 1,Toronto,TORONTO,Ontario,M4C 1H7,4166985262,EATING PLACES,43.68317,-79.323001,722513,58120304,"$145,921.00 ",4,4,1996
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,5926 YONGE ST SUITE A,Toronto,NORTH YORK,Ontario,M2M 3V9,4167331774,EATING PLACES,43.7872,-79.417681,722513,58120304,"$75,452.00 ",2,2,2011
COFFEE TIME DONUTS INC,COFFEE TIME DONUTS,601 SHERBOURNE ST,Toronto,TORONTO,Ontario,M4X 1K7,,EATING PLACES,43.67112,-79.376071,722513,58120304,"$337,838.00 ",10,10,
COFFEE TIME DONUTS INCORPORATED,COFFEE TIME DONUTS,1147 LAWRENCE AVE W,Toronto,NORTH YORK,Ontario,M6A 1E1,,EATING PLACES,43.71121,-79.466331,722513,58120304,$0.00 ,0,4,
JAMSHIDI INVESTMENTS INC,COFFEE TIME DONUTS,33 UNIVERSITY AVE,Toronto,TORONTO,Ontario,M5J 2S7,4167770673,EATING PLACES,43.64622,-79.383541,722513,58120304,"$109,441.00 ",3,3,1996
1403159 ONTARIO LTD,COUNTRY STYLE,1156 KENNEDY RD,Toronto,SCARBOROUGH,Ontario,M1P 2L1,,EATING PLACES,43.75244,-79.276381,722513,58120304,"$167,810.00 ",5,5,2013
2192316 ONTARIO INC,COUNTRY STYLE & MR. SUB,2444 FINCH AVE W,Toronto,TORONTO,Ontario,M9M 2E9,4167401217,EATING PLACES,43.749886,-79.552868,722513,58120304,"$297,233.00 ",10,10,
1107019 ONTARIO LTD,COUNTRY STYLE DONUTS,2050 VICTORIA PARK AVE,Toronto,NORTH YORK,Ontario,M1R 1V2,,EATING PLACES,43.753017,-79.313609,722513,58120304,"$284,547.00 ",10,10,
"ENTREPRISES MTY TIKI MING INC, LES",COUNTRY STYLE DONUTS,799 YORK MILLS RD UNIT 1,Toronto,NORTH YORK,Ontario,M3B 1X6,4163841000,EATING PLACES,43.75271,-79.359181,722513,58120304,$0.00 ,0,1,
CREMA COFFEE COMPANY INC,CREMA COFFEE COMPANY,3079 DUNDAS ST W SUITE B,Toronto,TORONTO,Ontario,M6P 1Z9,4167673131,EATING PLACES,43.66536,-79.472211,722511,58129902,"$175,292.00 ",5,5,2011
1431259 ONTARIO LTD,"CROISSANT TREE, THE",595 BAY ST,Toronto,TORONTO,Ontario,M7A 2B4,,EATING PLACES,43.65621,-79.383261,722513,58120304,"$141,349.00 ",3,3,2001
1564505 ONTARIO INC,"CROISSANT TREE, THE",GD,Toronto,TORONTO,Ontario,M5L 1G5,4163639984,EATING PLACES,43.648891,-79.378802,722513,58120304,"$75,452.00 ",2,2,1996
1203412 ONTARIO INC,DAILY EXPRESS CAFE,280 BLOOR ST W,Toronto,TORONTO,Ontario,M5S 3B9,4165936888,EATING PLACES,43.6676,-79.400821,722513,58120304,"$189,698.00 ",6,6,1996
"DAILY PERK COFFEE COMPANY LTD, THE",DAILY PERK,6 SPADINA ROAD,Toronto,TORONTO,Ontario,M5R 2S7,4169669004,EATING PLACES,43.66712,-79.404551,722513,58120304,"$167,810.00 ",5,5,2013
"DAILY PERK COFFEE COMPANY LTD, THE",DAILY PERK COFFEE COMPANY,35 FAIRVIEW MALL DR,Toronto,NORTH YORK,Ontario,M2J 4S4,,EATING PLACES,43.77911,-79.346741,722513,58120304,"$175,292.00 ",5,5,
6555071 CANADA INC,DELIMARK CAFES,250 FERRAND DR SUITE 103,Toronto,NORTH YORK,Ontario,M3C 3G8,4164259291,EATING PLACES,43.7199,-79.331151,722513,58120304,"$175,292.00 ",5,5,2006
ALLSTAR AUTOMATIC VENDING & COFFEE,DIAMOND COFFEE SERVICES,723 GLADSTONE AVE,Toronto,TORONTO,Ontario,M6H 3J5,4165369350,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",43.66527,-79.435981,424490,51490901,"$152,427.00 ",1,1,1996
DIP'N DUNK DONUTS LTD,DIP'N DUNK DONUTS & BAKERY,30 DEAN PARK RD UNIT 21,Toronto,SCARBOROUGH,Ontario,M1B 3H1,,EATING PLACES,43.80366,-79.169791,722513,58120304,"$198,156.00 ",6,6,1998
758957 ONTARIO INC,"DONUT FACTORY, THE",101 PAPE AVE SUITE 99,Toronto,TORONTO,Ontario,M4M 2V7,4164615289,EATING PLACES,43.66197,-79.337631,722513,58120304,"$114,321.00 ",3,3,1988
EARLY BIRD ESPRESSO AND BREW BAR INC,EARLY BIRD ESPRESSO AND BREW BAR,613 QUEEN ST W,Toronto,TORONTO,Ontario,M5V 2B7,4168441370,EATING PLACES,43.647433,-79.40254,722513,58120304,"$199,238.00 ",5,5,2015
FOOD F/X INC,ESPRESSOMATIC,215 CARLINGVIEW DR SUITE 208,Toronto,ETOBICOKE,Ontario,M9W 5X8,4166740083,"COMMERCIAL EQUIPMENT, NEC",43.68346,-79.592411,423440,50460302,"$426,797.00 ",3,3,1992
EURO-MILAN INC,EURO-MILAN DISTRIBUTING,672 DUPONT ST SUITE 202,Toronto,TORONTO,Ontario,M6G 1Z6,4165356553,"COMMERCIAL EQUIPMENT, NEC",43.67199,-79.422171,423440,50460302,"$1,448,060.00 ",10,10,1986
1100833 ONTARIO LIMITED,FAEMA,672 DUPONT ST SUITE 201,Toronto,TORONTO,Ontario,M6G 1Z6,4165351555,"HOUSEHOLD APPLIANCE STORES, NSK",43.67199,-79.422171,443141,57220000,"$3,810,685.00 ",50,43,1994
1100833 ONTARIO LIMITED,FAEMA,25 THE WEST MALL,Toronto,ETOBICOKE,Ontario,M9C 1B8,4166212889,EATING PLACES,43.609803,-79.560811,722513,58120304,$0.00 ,0,17,
FAEMA COMPANY LIMITED,FAEMA ESPRESSO COFFEE MACHINES,1117 DAVENPORT RD,Toronto,TORONTO,Ontario,M6G 2C3,4166561555,"MISCELLANEOUS FOOD STORES, NSK",43.6745,-79.430471,445299,54990201,"$2,515,052.00 ",50,12,1960
"GTA HOT SPOT CAFE & DELI LTD, THE",FENMAR CAFE,120 FENMAR DR SUITE 41,Toronto,NORTH YORK,Ontario,M9L 1M6,4167434693,EATING PLACES,43.759978,-79.549804,722513,58120304,"$75,452.00 ",2,2,2008
"GEORGE BROWN COLLEGE OF APPLIED ARTS AND TECHNOLOGY, THE",GEORGE BROWN WATERFRONT CAMPUS-ORIGINS,51 DOCKSIDE DR,Toronto,TORONTO,Ontario,M5A 0B6,4164152000,EATING PLACES,43.644189,-79.366152,722513,58120304,$0.00 ,0,1,
GOLDEN MINT INC,GOLDEN MINT COFFEE & TEA,911 YONGE ST,Toronto,TORONTO,Ontario,M4W 2H2,4169648100,EATING PLACES,43.67516,-79.388481,722513,58120304,"$175,292.00 ",5,5,2005
1328444 ONTARIO INC,"GOURMET CAFE, THE",55 ST CLAIR AVE W SUITE 1,Toronto,TORONTO,Ontario,M4V 2Y7,4169200338,EATING PLACES,43.68725,-79.396801,722513,58120304,"$75,452.00 ",2,2,2006
P.E.M.A. PRESERVING THE ENVIRONMENT  MATTERS ASSOCIATION,GREEN BEANERY,225 BRUNSWICK AVE,Toronto,TORONTO,Ontario,M5S 2M6,4169649223,"MISCELLANEOUS FOOD STORES, NSK",43.66403,-79.406401,445299,54990201,"$990,778.00 ",20,20,1991
1239666 ONTARIO LTD,GREEN UMBRELLA CAFE,970 LAWRENCE AVE W UNIT 101,Toronto,NORTH YORK,Ontario,M6A 3B6,4167876667,EATING PLACES,43.71375,-79.458251,722513,58120304,"$75,452.00 ",2,2,2003
HAVANA COFFEE HOUSE LTD,HAVANA,142 AVENUE RD UNIT 2,Toronto,TORONTO,Ontario,M5R 2H6,4169681097,EATING PLACES,43.67448,-79.396791,722513,58120304,"$175,292.00 ",5,5,1995
SPOT COFFEE INC,HOT SPOT,333 BREMNER BLVD,Toronto,TORONTO,Ontario,M5V 3V3,4168830762,EATING PLACES,43.64044,-79.390831,722513,58120304,"$554,501.00 ",20,20,2006
ORGANICO INC,I DEAL COFFEE,162 OSSINGTON AVE,Toronto,TORONTO,Ontario,M6J 2Z7,4165347700,EATING PLACES,43.647896,-79.420311,722513,58120304,"$175,292.00 ",5,5,2015
2043285 ONTARIO INC,JAVA HOUSE,537 QUEEN ST W,Toronto,TORONTO,Ontario,M5V 2B6,4165043025,EATING PLACES,43.64784,-79.399751,722513,58120304,"$175,292.00 ",5,5,
MINAZ SALES LTD,JAVA JIVE,585 CHURCH ST,Toronto,TORONTO,Ontario,M4Y 2E4,4166211161,"MISCELLANEOUS FOOD STORES, NSK",43.66821,-79.381661,445299,54990201,"$205,777.00 ",4,4,1994
1515339 ONTARIO INC,JAVA JOE'S,25 SHEPPARD AVE W SUITE 115,Toronto,NORTH YORK,Ontario,M2N 6S6,4162219032,"MISCELLANEOUS FOOD STORES, NSK",43.76082,-79.412121,445299,54990201,"$251,505.00 ",5,5,
JET FUEL COFFEESHOP INC,JET FUEL,519 PARLIAMENT ST,Toronto,TORONTO,Ontario,M4X 1P3,4169689982,EATING PLACES,43.66531,-79.368111,722513,58120304,"$75,452.00 ",2,2,1992
2030142 ONTARIO INC,JIMMY'S COFFEE,107 PORTLAND ST SUITE A,Toronto,TORONTO,Ontario,M5V 2N3,4169012289,EATING PLACES,43.64529,-79.400171,722513,58120304,"$167,810.00 ",5,5,
JIMMY'S COFFEE INC,JIMMY'S COFFEE,191A BALDWIN ST,Toronto,TORONTO,Ontario,M5T 1M1,,EATING PLACES,43.6546,-79.40128,722513,58120304,$0.00 ,10,10,2015
AMERICAN INX CORPORATION,JOLLY COFFEE RESTAURANT,165 DUFFERIN ST,Toronto,TORONTO,Ontario,M6K 3H6,,EATING PLACES,43.6359,-79.425861,722511,58120000,"$175,292.00 ",5,5,1995
COFFEE TIME DONUTS INCORPORATED,JONG'S COFFEE TIME,2230 LAKE SHORE BLVD W,Toronto,ETOBICOKE,Ontario,M8V 0B2,,EATING PLACES,43.62165,-79.483151,722513,58120304,$0.00 ,0,3,
COFFEE DINER INC,JORGY'S CAFE,4800 DUFFERIN ST SUITE 200,Toronto,NORTH YORK,Ontario,M3H 5S9,4166509992,EATING PLACES,43.777974,-79.469189,722511,58129907,"$72,231.00 ",2,2,1999
6651739 CANADA LIMITED,JUST USU CAFE,2010 QUEEN ST E,Toronto,TORONTO,Ontario,M4L 1J3,4166932233,EATING PLACES,43.67034,-79.299451,722513,58120304,"$211,586.00 ",7,7,
2035335 ONTARIO LTD,KUBATA,962 COLLEGE ST,Toronto,TORONTO,Ontario,M6H 1A5,4165169909,EATING PLACES,43.65359,-79.427351,722513,58120304,"$75,452.00 ",2,2,
2308216 ONTARIO INC,LA TAZZA CAFE,2200 YONGE ST SUITE 204,Toronto,TORONTO,Ontario,M4S 2C6,4163226631,EATING PLACES,43.70603,-79.398511,722513,58120304,"$72,231.00 ",2,2,2007
PRONTO FOOD SERVICES LTD,LEMON HEAVEN,705 KING ST W SUITE 716,Toronto,TORONTO,Ontario,M5V 2W8,4163040099,DIRECT SELLING ESTABLISHMENTS,43.64336,-79.404071,722330,59630204,"$496,133.00 ",6,6,1997
1106705 ONTARIO INC,LESLIE DONUTS,17 LESLIE ST,Toronto,TORONTO,Ontario,M4M 3H9,,EATING PLACES,43.6609,-79.328961,722513,58120304,"$129,938.00 ",3,3,1986
LUNA181 INC,LUNA CAFE,181 DOVERCOURT RD,Toronto,TORONTO,Ontario,M6J 3C6,4165883374,EATING PLACES,43.64612,-79.423191,722513,58120304,"$243,884.00 ",8,8,
1224882 ONTARIO INC,MAKI SUSHI,3403 YONGE ST,Toronto,NORTH YORK,Ontario,M4N 2M8,,DIRECT SELLING ESTABLISHMENTS,43.73262,-79.403871,722330,59630204,"$518,253.00 ",6,6,1993
HEADSTRONG COFFEE COMPANY INC,MOUNTAIN VIEW ESTATES COFFEE CIE,400 STEEPROCK DR,Toronto,TORONTO,Ontario,M3J 2X1,4166945455,"MISCELLANEOUS FOOD STORES, NSK",43.72698,-79.527111,445299,54990201,"$1,240,332.00 ",25,12,2005
